,CVProcessado,vidaInstalacao,vidaHidrometro,hid_imo_qtd_pontos_utilizacao,QtdMedicoes,QtdOcorrencias,qtd_instalacao,variacaoTendencia,bhc_dsc_status,IDHidrometro
6431,0.36435074426128183,5.0,6.0,1.0,25.0,0.0,1.0,0.33484162895927594,1,A12F359783
6432,0.24272431418973356,9.0,10.0,1.0,25.0,1.0,1.0,0.16666666666666674,0,A08F353065
6433,0.4598925329502113,4.0,5.0,17.0,25.0,0.0,1.0,-0.2379182156133829,0,A13F149960
6434,0.42404640298271007,1.0,1.0,20.0,16.0,1.0,1.0,0.9150943396226414,1,A17F015283
6435,0.9339146166614779,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1,A18N109940
6436,0.17344546832781074,0.0,1.0,4.0,7.0,1.0,1.0,0.09947643979057585,1,A17N319976
6437,0.2746426249302381,0.0,0.0,5.0,7.0,0.0,1.0,-0.01673640167364021,1,A18N028275
6438,0.8124423567659956,3.0,4.0,2.0,25.0,4.0,1.0,1.45679012345679,0,A14F458724
6439,1.0189785904342799,0.0,10.0,1.0,10.0,0.0,2.0,-0.17391304347826086,1,A08F232630
6440,1.0189785904342799,0.0,10.0,5.0,10.0,0.0,2.0,-0.17391304347826086,1,A08F232630
6441,0.1368593770038479,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1,A18N225167
6442,0.0773069708011145,6.0,6.0,8.0,25.0,0.0,2.0,0.0,0,A12F036995
6443,1.7604864787107444,2.0,11.0,8.0,25.0,0.0,2.0,0.0,1,A07F281290
6444,0.42755293746163336,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1,A18N193197
6446,0.14603237689004261,4.0,4.0,14.0,25.0,0.0,1.0,-0.09824561403508769,0,A14F115173
6447,1.3207732316640917,6.0,7.0,8.0,25.0,0.0,1.0,2.142857142857143,0,A11F221845
6450,0.10825273613654322,8.0,8.0,3.0,25.0,0.0,1.0,0.13186813186813184,0,A10F043329
6451,0.3810228705637376,2.0,5.0,14.0,23.0,0.0,2.0,0.06400000000000006,1,A13F216779
6452,0.011135539861205473,0.0,0.0,22.0,3.0,0.0,1.0,0.0,1,A18N181817
6453,0.24887442217936492,1.0,1.0,10.0,16.0,0.0,1.0,0.47058823529411775,1,A17F030751
6455,0.29834445077780763,6.0,7.0,20.0,25.0,0.0,2.0,0.8636363636363635,0,A11F285159
6456,0.16202525306106663,1.0,1.0,4.0,16.0,0.0,1.0,0.098901098901099,1,A17F030771
6457,0.7445512462723644,3.0,7.0,4.0,25.0,0.0,2.0,0.8571428571428572,0,A11F190128
6459,0.21481320224514358,0.0,10.0,1108.0,8.0,0.0,2.0,0.3590348607093925,1,E08S003616
6460,0.1206840892129838,4.0,10.0,4.0,25.0,0.0,2.0,-0.08163265306122447,1,A08F244031
6462,0.02886150127292031,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1,A18N093736
6463,0.819919359338525,8.0,16.0,5.0,25.0,0.0,1.0,0.5974025974025974,0,A02S080382
6464,0.6800996110884798,4.0,4.0,4.0,25.0,0.0,1.0,2.1343283582089554,0,A14F285652
6465,0.6653550884714219,4.0,5.0,7.0,25.0,2.0,1.0,2.6875,1,A13F255988
6466,0.6113775679107915,9.0,18.0,6.0,25.0,1.0,1.0,1.8950617283950617,0,A00N630708
6467,0.3328173667152714,1.0,11.0,8.0,17.0,2.0,2.0,0.776470588235294,1,A07F243418
6469,0.9582361667806183,6.0,7.0,6.0,25.0,1.0,2.0,1.0,0,A11F286003
6470,0.5640319652876401,9.0,16.0,5.0,25.0,1.0,1.0,1.3214285714285716,1,A02S132681
6471,1.007804039011107,7.0,14.0,1.0,25.0,0.0,1.0,1.526315789473684,0,A04S351399
6473,0.4368197541998095,4.0,4.0,6.0,25.0,0.0,1.0,0.34523809523809534,1,A14F398585
6475,0.22080030749828172,4.0,12.0,478.0,25.0,0.0,2.0,-0.16393442622950816,0,E06L001505
6478,0.2791310221041444,10.0,10.0,1.0,25.0,0.0,1.0,0.392156862745098,0,A08F363676
6479,1.7252569017849066,10.0,13.0,9.0,25.0,0.0,1.0,2.191011235955056,0,A05L143299
6480,0.895099440017028,0.0,1.0,4.0,8.0,0.0,1.0,1.2380952380952381,1,A17N281036
6481,0.4170491051745896,10.0,10.0,6.0,25.0,0.0,1.0,1.619047619047619,0,A08F454060
6482,0.47984407274670465,9.0,9.0,1.0,25.0,2.0,1.0,1.370967741935484,1,A09F009929
6484,1.342089721023564,1.0,9.0,1.0,15.0,8.0,2.0,0.0,1,A09F196303
6485,1.342089721023564,1.0,9.0,9.0,15.0,8.0,2.0,0.0,1,A09F196303
6486,1.3912465881610225,8.0,16.0,22.0,25.0,0.0,1.0,1.843137254901961,0,A02S689703
6487,0.38067320656374865,1.0,1.0,9.0,13.0,0.0,1.0,0.24285714285714288,1,A17F071872
6488,0.1577287846074841,1.0,1.0,4.0,12.0,0.0,1.0,0.18253968253968256,1,A17F072230
6489,0.5795455252808152,1.0,1.0,5.0,15.0,0.0,1.0,1.6103896103896105,0,A17F060617
6490,0.8075248104414943,4.0,5.0,6.0,25.0,3.0,1.0,2.540983606557377,0,A13F209407
6491,0.6831656191909301,5.0,6.0,5.0,24.0,0.0,1.0,-0.05063291139240511,0,A12F371649
6492,0.24263467981891337,6.0,6.0,8.0,25.0,1.0,1.0,0.4672131147540983,0,A12F184769
6493,0.13279802331195842,3.0,12.0,5.0,24.0,0.0,2.0,0.10489510489510478,0,A06F380888
6494,0.4575089118608871,0.0,0.0,4.0,3.0,1.0,1.0,0.0,1,A18N032956
6495,0.7645295398144762,6.0,6.0,4.0,25.0,0.0,1.0,1.1772151898734178,0,A12F241662
6496,0.1909451716598383,8.0,8.0,1.0,24.0,0.0,1.0,-0.1594202898550725,0,A10F203843
6497,0.2377469227318885,7.0,8.0,5.0,25.0,0.0,1.0,0.4303030303030304,0,A10F246186
6499,0.15999819721356814,0.0,1.0,5.0,10.0,0.0,1.0,0.14197530864197527,1,A17F056183
6500,0.40862740863223795,2.0,10.0,10.0,25.0,0.0,2.0,0.31666666666666665,1,A08F057756
6501,0.12856486930664499,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1,A18N224967
6502,0.7310392621315068,2.0,10.0,4.0,22.0,0.0,2.0,-0.6,0,A08F497096
6503,0.4081133867150039,4.0,5.0,11.0,25.0,0.0,1.0,1.7313432835820897,0,A13F237475
6505,1.1464569830247866,10.0,10.0,4.0,25.0,0.0,1.0,0.894736842105263,1,A08F421094
6507,0.17141388674745933,2.0,3.0,5.0,22.0,0.0,1.0,-0.07821229050279332,0,A15F195065
6508,0.19985201625794738,0.0,0.0,7.0,4.0,0.0,1.0,0.0,1,A18N092967
6509,0.3845308843841752,6.0,7.0,18.0,24.0,0.0,2.0,0.0,0,A11F312366
6510,0.49277512201521634,8.0,8.0,13.0,25.0,2.0,2.0,0.5810810810810811,0,A10F179614
6511,0.41095767197538247,1.0,11.0,12.0,17.0,0.0,2.0,0.5208333333333333,1,A07F217301
6512,0.2698310615461977,4.0,5.0,5.0,25.0,0.0,1.0,0.14367816091954033,1,A13F150137
6514,0.34907042078971884,11.0,18.0,4.0,25.0,0.0,1.0,-0.25555555555555554,1,A00S634956
6515,0.223718587733259,9.0,9.0,5.0,25.0,0.0,1.0,0.3067484662576687,1,A09S103211
6516,0.1502732030970544,0.0,0.0,8.0,6.0,0.0,1.0,0.13988095238095233,0,A18F006392
6518,1.1900748763428917,1.0,2.0,7.0,22.0,7.0,1.0,-0.21621621621621623,1,A16L059173
6519,0.47939496900723233,4.0,4.0,4.0,25.0,1.0,1.0,0.6694214876033058,0,A14F288255
6520,0.48973614024279233,1.0,2.0,1.0,20.0,0.0,1.0,1.5222222222222221,0,A16F275072
6521,0.6038839239382795,10.0,11.0,6.0,25.0,5.0,1.0,-0.34090909090909094,0,A07F328655
6522,1.1698759387073296,1.0,6.0,3.0,21.0,6.0,2.0,0.0,1,A12F227600
6523,1.1698759387073296,1.0,6.0,7.0,21.0,6.0,2.0,0.0,1,A12F227600
6524,0.04561979233461597,0.0,0.0,6.0,3.0,0.0,1.0,0.0,1,A18N224957
6526,0.40404637896083595,4.0,6.0,618.0,25.0,0.0,1.0,0.5578616352201258,0,E12L003582
6527,0.4403806932854815,5.0,13.0,6.0,25.0,0.0,2.0,2.6140350877192984,1,A05L081715
6529,1.294000471420948,5.0,6.0,6.0,25.0,0.0,2.0,1.6619718309859155,0,A12F238049
6530,0.79322744654745,4.0,5.0,5.0,25.0,1.0,1.0,0.5106382978723405,0,A13F203509
6531,0.49606307790531956,4.0,4.0,6.0,25.0,3.0,1.0,1.5217391304347827,0,A14F084145
6532,0.4667100944096952,9.0,10.0,3.0,25.0,3.0,1.0,0.6808510638297873,1,A08F500290
6533,1.1424146870791596,2.0,2.0,4.0,24.0,9.0,2.0,-0.9642857142857143,0,A16F197046
6535,0.8065024990610602,0.0,0.0,12.0,7.0,2.0,1.0,1.5517241379310347,1,A18N019311
6536,1.0970568139474832,2.0,9.0,4.0,25.0,0.0,2.0,1.8888888888888888,1,A09F243464
6537,0.27746466205350256,6.0,6.0,1.0,25.0,0.0,1.0,0.17272727272727262,1,A12F218257
6538,1.8083245435078956,4.0,4.0,17.0,25.0,13.0,1.0,0.5333333333333334,0,A14F028626
6539,0.6298161339914317,9.0,20.0,12.0,25.0,0.0,1.0,-0.19999999999999996,0,A98L572667
6540,1.8790387837577855,4.0,4.0,15.0,25.0,0.0,1.0,2.8536585365853657,0,A14F073986
6541,0.3203856712250367,0.0,0.0,10.0,5.0,0.0,1.0,0.0,1,A18N090373
6542,1.7147968877403652,0.0,1.0,4.0,7.0,1.0,1.0,0.22123893805309724,1,A17N307268
6543,1.6459978042387295,1.0,1.0,13.0,20.0,0.0,1.0,2.6363636363636362,0,A17F000214
6545,0.5299581567366041,7.0,8.0,3.0,25.0,0.0,1.0,-0.07954545454545459,0,A10F518407
6548,0.29804257679355234,6.0,7.0,28.0,25.0,1.0,1.0,0.1322314049586777,0,A11F289027
6550,0.2728518257158927,6.0,6.0,5.0,25.0,0.0,1.0,-0.06521739130434778,0,A12F270527
6551,0.32838891659632463,4.0,4.0,8.0,25.0,1.0,2.0,-0.02298850574712641,0,A14F008287
6552,0.34993648603057104,4.0,12.0,15.0,25.0,0.0,2.0,-0.24731182795698925,0,A06F341802
6553,0.2543980445027039,2.0,2.0,5.0,25.0,0.0,1.0,0.04761904761904767,1,A16F058625
6554,0.6952966213106216,4.0,4.0,22.0,25.0,4.0,1.0,2.2941176470588234,0,A14F203780
6555,0.14497556252537167,5.0,14.0,9.0,25.0,0.0,2.0,0.017391304347825987,1,A04S120769
6556,0.2594856473261825,4.0,9.0,10.0,25.0,0.0,2.0,0.6701030927835052,0,A09F082234
6557,0.5529459901590796,1.0,12.0,5.0,22.0,0.0,2.0,1.44,1,A06F352996
6558,0.5852928091824814,6.0,14.0,14.0,25.0,0.0,1.0,0.049180327868852514,1,A04S068036
6559,0.10800856784134813,6.0,6.0,6.0,25.0,1.0,2.0,-0.005813953488372103,0,A12F345243
6561,0.116212478254027,8.0,10.0,12.0,25.0,0.0,1.0,0.2272727272727273,0,A08F461232
6562,0.09079111238867203,6.0,7.0,6.0,24.0,0.0,1.0,0.012820512820512775,0,A11F181859
6563,0.10575360634544385,9.0,17.0,10.0,25.0,0.0,1.0,0.20999999999999996,0,A01S063999
6564,0.3712538754829046,4.0,4.0,16.0,25.0,0.0,1.0,0.4022988505747127,0,A14F073777
6565,0.6296126087023964,4.0,9.0,22.0,25.0,0.0,2.0,0.47777777777777786,0,A09F008822
6566,0.1914776656510032,4.0,4.0,7.0,25.0,0.0,1.0,0.2815533980582525,1,A14F309971
6567,0.16701066428067127,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1,A18N105589
6568,0.38050456949268036,8.0,8.0,9.0,25.0,3.0,2.0,-0.12030075187969924,0,A10F014517
6570,0.7962659385219586,0.0,0.0,11.0,4.0,0.0,1.0,0.0,1,A18N145086
6571,0.4127702793563631,1.0,1.0,86.0,13.0,0.0,1.0,0.8498727735368956,0,A17F117291
6572,0.3663470511826338,8.0,8.0,11.0,24.0,0.0,1.0,0.20430107526881724,0,A10F169702
6573,0.17018911389171965,5.0,7.0,6.0,24.0,0.0,1.0,0.058394160583941535,0,A11F224156
6574,0.5423759975728566,11.0,12.0,3.0,25.0,2.0,1.0,2.08,1,A06S474771
6575,0.2512550670530628,2.0,11.0,8.0,24.0,0.0,2.0,0.4497041420118344,0,A07F329455
6576,0.6884873881981288,4.0,5.0,7.0,25.0,2.0,1.0,-0.33333333333333337,0,A13F232860
6577,0.9074104172409344,5.0,6.0,5.0,25.0,3.0,2.0,-0.5658536585365854,0,A12F243205
6578,0.6404747766372276,0.0,0.0,25.0,3.0,0.0,1.0,0.0,0,A18N033213
6580,0.33955594189271093,10.0,10.0,7.0,25.0,0.0,1.0,1.051282051282051,0,A08F074014
6581,0.24853538719132656,5.0,8.0,5.0,25.0,4.0,1.0,0.10606060606060597,1,A10F004996
6582,0.17829762022098997,3.0,3.0,0.0,25.0,0.0,1.0,0.12380952380952381,0,A15F078746
6583,0.7030808897281805,4.0,4.0,7.0,24.0,1.0,1.0,-0.03947368421052633,0,A14F210099
6586,0.1625417779316997,4.0,5.0,8.0,24.0,0.0,2.0,-0.24623115577889443,0,A13F270858
6587,0.5001746572405029,1.0,10.0,17.0,10.0,0.0,3.0,1.7708333333333335,0,A08F485929
6588,0.3464101615137754,0.0,0.0,16.0,4.0,0.0,1.0,0.0,1,A18N139220
6591,1.2512906559968886,8.0,8.0,16.0,25.0,0.0,1.0,1.4420289855072466,0,A10F205276
6592,0.7486270011369318,2.0,3.0,19.0,25.0,1.0,1.0,-0.02010050251256279,1,A15S128491
6593,0.2728147827207188,2.0,13.0,60.0,25.0,0.0,2.0,-0.16366158113730933,0,A05F113873
6596,0.5665004166194306,0.0,0.0,4.0,5.0,0.0,1.0,0.0,1,A18N090636
6597,1.4363351479898012,2.0,8.0,13.0,24.0,0.0,2.0,0.9159663865546219,1,A10F041499
6598,0.5689277501081793,2.0,10.0,8.0,25.0,3.0,1.0,2.35,1,A08F352924
6599,0.11741114570589824,3.0,6.0,228.0,25.0,0.0,1.0,0.013452914798206317,1,D12L003125
6600,0.23089782664381941,4.0,4.0,6.0,25.0,0.0,1.0,0.29670329670329676,0,A14F008810
6601,0.4040608045538902,3.0,11.0,5.0,25.0,0.0,2.0,0.7978723404255319,1,A07S201765
6602,0.33335316221014416,0.0,0.0,6.0,7.0,0.0,1.0,0.13138686131386867,1,A18N022155
6603,0.1621613279925159,9.0,9.0,1.0,25.0,0.0,1.0,-0.13636363636363635,0,A09F031024
