IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,valido,PROBA
A09F029396,5885809,1.0019943,25,0,5,0.0,10,10,0,"0,7197",11,14.0,14.0,5885809,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7197"
A10F559705,2600110,0.18448688,25,0,4,-0.09154929,9,8,0,719,11,17.0,17.0,2600110,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,719"
A10F563490,4144872,0.17088589,25,0,4,-0.097087376,9,8,0,719,11,13.0,13.0,4144872,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,719"
A08F458938,7864183,0.1610774,25,0,5,225,11,11,0,"0,7188",11,17.0,17.0,7864183,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7188"
A10F206029,6381260,0.23851919,25,0,3,-0.40350878,9,9,0,"0,7188",11,10.0,10.0,6381260,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7188"
A11N315005,4460960,0.39089447,25,0,3,-0.25490198,8,8,0,"0,7173",11,17.0,17.0,4460960,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7173"
A10F522781,4448804,0.18884265,25,0,6,-0.18803419,9,8,0,717,11,14.0,14.0,4448804,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,717"
A08F484695,5863902,0.33134636,25,1,4,0.06779661,11,10,0,"0,7163",11,9.0,9.0,5863902,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7163"
A09F225947,3897281,0.26272005,25,6,4,0.30357143,10,10,0,716,11,9.0,9.0,3897281,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,716"
A08F493534,759260,0.17917779,25,0,4,0.123893805,11,10,0,715,11,14.0,14.0,759260,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,715"
A09F120993,5559677,0.19861591,25,0,5,-0.102564104,10,10,0,"0,7144",11,13.0,13.0,5559677,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,7144"
A11F187904,4459121,0.4703039,25,0,4,-0.44444445,8,8,0,"0,7134",11,9.0,9.0,4459121,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,7134"
A09F001040,5736846,0.24187388,25,0,5,-0.32222223,10,10,0,"0,7104",11,9.0,9.0,5736846,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7104"
A10F208356,6557481,0.91190726,25,0,4,-0.47857141,9,8,0,"0,7095",11,9.0,9.0,6557481,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7095"
A11F187853,8480761,0.20683752,25,0,6,-0.26506025,8,8,0,"0,7095",11,9.0,9.0,8480761,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7095"
A08F480394,5884934,0.21369702,25,0,5,0.12195122,11,10,0,708,11,13.0,13.0,5884934,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,708"
A01S067620,4473957,0.26923078,25,0,18,-0.40495867,18,10,0,"0,7065",11,14.0,14.0,4473957,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,7065"
A01S066766,2545055,0.267645,25,0,1,0.06818182,18,10,0,704,11,13.0,13.0,2545055,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,VAGO,EM USO,1,1,#REF!,"0,704"
A02L423406,7219660,0.078850985,25,0,6,0.10204082,17,10,0,701,11,13.0,13.0,7219660,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,701"
A12F234016,4465873,0.0924056,25,0,12,0.12307692,7,4,0,701,11,18.0,18.0,4465873,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,701"
A15F212521,6651810,0.2522936,25,0,20,-0.16167665,4,4,0,701,11,20.0,20.0,6651810,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,701"
A10F095498,7997159,0.23345247,25,1,5,-0.4457143,9,9,0,"0,7",11,15.0,15.0,7997159,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,7"
A01S000157,7105100,0.23237433,25,2,7,-0.075630255,18,10,0,"0,6987",11,13.0,13.0,7105100,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6987"
A13F140406,2328844,0.19541264,25,0,18,0.22950819,6,6,0,693,11,9.0,9.0,2328844,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,693"
