IMO_BSK_IMOVEL,GEO_SET_NUM_SETOR,GEO_LGE_DSC_LOCALIDADE_PRAX,GEO_LGE_DSC_DISTRITO_PRAX,GEO_LGE_DSC_MUNICIPIO_PRAX,GEO_UAD_SGL_UNIDADE_NEGOCIO,PIM_DSC_PADRAO_IMOVEL,SII_NOM_SITUACAO_IMOVEL,SLA_NOM_SITUACAO_LIG_AGUA,proba
3191303,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6436"
10252410,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6436"
751286,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,643"
3082164,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,643"
10780718,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,643"
2088568,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6426"
5067766,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6426"
9011145,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6426"
14356805,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6426"
14392640,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6426"
5028264,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,642"
5886465,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,642"
7001371,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,642"
14392445,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,642"
3127699,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6416"
5892112,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6416"
6531229,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,641"
7354320,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,641"
14069504,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,641"
5479592,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,6406"
5480639,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6406"
3127966,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,64"
5071666,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,64"
9088830,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,64"
14352729,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,64"
2452022,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6396"
5061148,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6396"
5070490,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6396"
6390471,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,639"
9064150,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,639"
14059878,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,639"
14367238,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,639"
2450569,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6387"
5043212,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6387"
6771874,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6387"
