ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43572107,56191545,GERADO PELO SISTEMA
43572020,57019452,GERADO PELO SISTEMA
43571983,56155107,GERADO PELO SISTEMA
43531329,56171285,GERADO PELO MODELO
43531328,56171277,GERADO PELO MODELO
43531327,56171234,GERADO PELO MODELO
43531325,56170645,GERADO PELO MODELO
43571996,56170556,GERADO PELO SISTEMA
43571957,56170734,GERADO PELO SISTEMA
43531349,56194013,GERADO PELO MODELO
43572127,56271387,GERADO PELO SISTEMA
43572006,56423381,GERADO PELO SISTEMA
43571975,56185006,GERADO PELO SISTEMA
43531268,56053150,GERADO PELO MODELO
43531264,56051727,GERADO PELO MODELO
43572142,56152361,GERADO PELO SISTEMA
43531297,56154100,GERADO PELO MODELO
43531296,56153988,GERADO PELO MODELO
43531269,56053282,GERADO PELO MODELO
43531432,56612567,GERADO PELO MODELO
43531413,56472153,GERADO PELO MODELO
43572117,56116845,GERADO PELO SISTEMA
43572043,56154259,GERADO PELO SISTEMA
43531309,56158971,GERADO PELO MODELO
43531287,56117361,GERADO PELO MODELO
43571978,56224435,GERADO PELO SISTEMA
43572105,56224745,GERADO PELO SISTEMA
43531383,56272278,GERADO PELO MODELO
43531316,56167520,GERADO PELO MODELO
43531315,56167512,GERADO PELO MODELO
43531282,56116543,GERADO PELO MODELO
43531434,56617224,GERADO PELO MODELO
43572048,56221380,GERADO PELO SISTEMA
43571956,56221584,GERADO PELO SISTEMA
43571952,56166192,GERADO PELO SISTEMA
43531373,56222637,GERADO PELO MODELO
43531371,56222033,GERADO PELO MODELO
43531366,56217412,GERADO PELO MODELO
43531336,56175701,GERADO PELO MODELO
43531335,56175698,GERADO PELO MODELO
43572074,56221037,GERADO PELO SISTEMA
43571963,56354169,GERADO PELO SISTEMA
43572141,56222238,GERADO PELO SISTEMA
43572058,56359454,GERADO PELO SISTEMA
43572029,56222130,GERADO PELO SISTEMA
43531320,56169868,GERADO PELO MODELO
43531319,56169582,GERADO PELO MODELO
43531318,56169353,GERADO PELO MODELO
43531317,56169280,GERADO PELO MODELO
43531435,56619014,GERADO PELO MODELO
43572130,56052570,GERADO PELO SISTEMA
43571965,56619537,GERADO PELO SISTEMA
43572160,56169795,GERADO PELO SISTEMA
43572148,56169884,GERADO PELO SISTEMA
43572119,56418132,GERADO PELO SISTEMA
43572008,56365977,GERADO PELO SISTEMA
43572147,56569017,GERADO PELO SISTEMA
43531310,56160534,GERADO PELO MODELO
43531409,56449640,GERADO PELO MODELO
43531407,56361424,GERADO PELO MODELO
43572031,56361734,GERADO PELO SISTEMA
43571990,56449542,GERADO PELO SISTEMA
43572041,56360428,GERADO PELO SISTEMA
43531256,55966306,GERADO PELO MODELO
43531255,55966284,GERADO PELO MODELO
43572103,55966225,GERADO PELO SISTEMA
