IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,PROBA,EXISTE
A11N329620,56276281,0.5115336,13,0,5,0.4032258,8,8,0,649,11,9.0,9.0,56276281,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,649",
A06F428525,56224885,0.20060626,13,0,4,0.4698795,13,8,0,648,11,13.0,13.0,56224885,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,648",
A08F510356,56460090,0.11432829,13,0,7,-0.041666668,11,11,0,648,11,9.0,9.0,56460090,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,648",
A10F149496,56516274,0.26067194,13,0,15,-0.16049382,9,9,0,"0,6475",11,9.0,9.0,56516274,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,ALTO,EM USO,1,1,"0,6475",
A05F122689,56223633,0.36754122,13,6,4,-0.012658228,14,11,0,647,11,10.0,10.0,56223633,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,647",
A08F071208,56272030,0.111517824,13,0,4,0.10309278,11,11,0,647,11,13.0,13.0,56272030,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,647",
A10F129855,56272073,0.122857004,13,0,3,0.08695652,9,7,0,647,11,9.0,9.0,56272073,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,647",
A10F175916,57010838,0.19928381,13,0,4,-0.08219178,9,9,0,647,11,10.0,10.0,57010838,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,647",
A10F002222,56221320,0.09824782,13,0,5,-0.037383176,9,9,0,"0,6465",11,13.0,13.0,56221320,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6465",
A06F266132,56115490,0.14191684,13,0,3,-0.048076924,13,11,0,646,11,13.0,13.0,56115490,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,646",
A08F225611,55953662,0.15951754,13,0,10,-0.02238806,11,11,0,644,11,17.0,17.0,55953662,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,644",
A12F345862,56052723,0.5300865,13,0,2,0.3857143,7,7,0,644,11,10.0,10.0,56052723,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,644",
A04L457631,56212399,0.1255521,13,0,3,0.036697246,15,11,0,"0,6436",11,14.0,14.0,56212399,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6436",
A12F094699,56172818,0.17872488,13,0,8,-0.13095239,7,6,0,"0,6436",11,10.0,10.0,56172818,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6436",
A00N320741,56116632,0.15201844,13,0,6,0.2923077,19,11,0,"0,6426",11,10.0,10.0,56116632,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,ALTO,EM USO,1,1,"0,6426",
A12F284376,56599935,0.47692424,13,0,10,125,7,6,0,"0,6426",11,14.0,14.0,56599935,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6426",
A04L725577,56155727,0.15448952,13,0,2,-0.04819277,15,11,0,642,11,10.0,10.0,56155727,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,642",
A05F127977,56197748,0.20751867,13,0,4,-0.065789476,14,11,0,642,11,10.0,10.0,56197748,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,642",
A11F181102,55954111,0.18616526,13,0,5,-0.17073171,8,7,0,642,11,9.0,9.0,55954111,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,642",
A05L143036,57011168,0.076544255,13,0,5,-0.0125,14,11,0,"0,6416",11,10.0,10.0,57011168,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6416",
A08F354264,56199341,0.5000619,13,0,7,-0.6632653,11,11,0,"0,6416",11,10.0,10.0,56199341,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6416",
A10F134620,56217412,0.12945805,13,0,3,-0.057142857,9,9,0,641,11,13.0,13.0,56217412,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,641",
A10F245984,56116063,0.1477685,13,0,6,-125,9,7,0,641,11,10.0,10.0,56116063,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,641",
A10F225972,56171285,0.138346,13,0,3,0.15151516,9,9,0,641,11,9.0,9.0,56171285,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,641",
A11N244032,56051786,0.16230045,13,0,4,-225,8,7,0,641,11,9.0,9.0,56051786,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,641",
A07S356349,56169582,0.13815975,13,0,3,0.11029412,12,8,0,"0,6406",11,18.0,18.0,56169582,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6406",
A09F044176,56128800,0.13715698,13,0,3,0.3043478,10,10,0,"0,6406",11,10.0,10.0,56128800,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6406",
A09F185011,56197373,0.36585522,13,0,8,0.046875,10,10,0,"0,6406",11,10.0,10.0,56197373,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6406",
