IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca
A06F533651,5889189,0.18015651,13,0,1,-0.054545455,13,6,0,0.5903,11,13.0,13.0,5889189,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06S448917,3072380,0.15226749,13,0,6,-0.15,13,5,0,0.619,11,9.0,9.0,3072380,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A06S475392,4215907,0.31652406,13,0,6,-0.4380531,13,7,0,0.621,11,19.0,19.0,4215907,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1
A06S755009,5038952,0.61789906,13,5,1,0.02,13,8,0,0.598,11,9.0,9.0,5038952,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07F205373,2088568,0.7090638,13,0,21,-0.2936508,12,10,0,0.6426,11,14.0,14.0,2088568,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07F311695,10180699,0.29266107,13,0,12,0.6396396,12,12,0,0.694,11,18.0,18.0,10180699,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07F335856,5550041,0.1972347,13,0,4,0.033333335,12,11,0,0.626,11,15.0,15.0,5550041,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07F346336,803677,0.536083,13,0,3,-0.39130434,12,11,0,0.5967,11,14.0,14.0,803677,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S616771,10554971,0.31535158,13,7,8,0.58536583,12,11,0,0.657,11,10.0,10.0,10554971,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07S089626,3075508,0.0929064,13,0,9,-0.006369427,12,7,0,0.5913,11,19.0,19.0,3075508,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07S040772,14340755,0.31804204,13,0,3,-0.23958333,12,8,0,0.5996,11,10.0,10.0,14340755,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S133147,8415331,0.11907169,13,0,3,-0.15476191,12,12,0,0.6313,11,9.0,9.0,8415331,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S140182,780669,0.121167876,13,0,3,0.16393442,12,12,0,0.6343,11,9.0,9.0,780669,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07S132921,2445433,0.0,13,13,3,0.0,12,12,0,0.5596,11,9.0,9.0,2445433,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S212050,5073383,0.0,26,12,6,0.0,12,12,0,0.621,11,9.0,9.0,5073383,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07S209397,10252410,0.114401884,13,0,3,0.11612903,12,12,0,0.6436,11,20.0,20.0,10252410,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07S211754,882569,0.37780923,13,0,25,0.93495935,12,5,0,0.603,11,19.0,19.0,882569,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07S311366,6961630,0.13215895,13,0,2,0.03797468,12,12,0,0.6094,11,10.0,10.0,6961630,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S212547,3127281,0.12041093,26,0,7,0.060344826,12,7,0,0.5586,11,14.0,14.0,3127281,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07S267636,6961720,0.2816684,13,11,5,-0.045454547,12,7,0,0.62,11,13.0,13.0,6961720,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S266705,5421632,0.054682687,13,0,6,0.20634921,12,12,0,0.579,11,9.0,9.0,5421632,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A07S215559,7701756,0.2197917,13,11,14,-0.104166664,12,12,0,0.632,11,14.0,14.0,7701756,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F214954,6888674,0.2321796,13,0,2,-0.01369863,11,11,0,0.5884,11,9.0,9.0,6888674,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A07S612327,8770620,0.100949466,13,0,4,0.08955224,12,11,0,0.631,11,9.0,9.0,8770620,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07S312372,6581544,0.56879646,13,1,6,-0.26415095,12,12,0,0.578,11,19.0,19.0,6581544,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A07S614716,7860900,0.20283042,13,1,4,-0.16455697,12,11,0,0.5913,11,10.0,10.0,7860900,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F237934,7358148,0.13103709,26,0,8,-0.1744186,11,5,0,0.6025,11,10.0,10.0,7358148,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F062543,6844391,0.06773163,13,0,7,0.041666668,11,6,0,0.5522,11,9.0,9.0,6844391,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F215051,10510982,0.187303,13,2,2,-0.053333335,11,11,0,0.592,11,9.0,9.0,10510982,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F212557,658839,0.14142136,13,0,2,-0.10843374,11,11,0,0.6006,11,10.0,10.0,658839,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F213876,8109125,0.5920892,13,0,6,0.08888889,11,11,0,0.6104,11,9.0,9.0,8109125,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F215050,6914004,0.22821774,13,0,6,0.16981132,11,11,0,0.6055,11,9.0,9.0,6914004,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F213284,10687084,0.72743577,13,1,5,2.1363637,11,11,0,0.608,11,9.0,9.0,10687084,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F214538,10380485,0.76852494,13,3,5,-0.1919192,11,11,0,0.6074,11,10.0,10.0,10380485,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F215674,6791379,0.20087934,13,7,3,-0.3875,11,11,0,0.613,11,9.0,9.0,6791379,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F347016,3840433,0.3792016,13,0,12,-0.120567374,11,6,0,0.6514,11,17.0,17.0,3840433,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F229177,2307197,0.15885073,26,0,1,-0.088495575,11,6,0,0.598,11,14.0,14.0,2307197,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F239614,5219922,0.13379687,13,0,5,0.19117647,11,11,0,0.622,11,9.0,9.0,5219922,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F239765,10469621,0.25465572,13,0,6,0.10144927,11,11,0,0.6196,11,9.0,9.0,10469621,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F288143,8993076,0.114874534,13,0,5,0.051282052,11,6,0,0.6167,11,10.0,10.0,8993076,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F284640,3833925,0.12664847,13,0,7,-0.2,11,11,0,0.6294,11,9.0,9.0,3833925,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1
A08F296555,8414807,0.28100172,13,0,6,0.013513514,11,11,0,0.5977,11,9.0,9.0,8414807,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F293048,7850123,0.35721725,13,0,2,1.0,11,11,0,0.621,11,9.0,9.0,7850123,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
