ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43393424,9086498,GERADO PELA UNIDADE
43393576,8264872,GERADO PELA UNIDADE
43393783,7822243,GERADO PELA UNIDADE
43345995,14387042,GERADO PELO MODELO
43415888,6147828,GERADO PELO MODELO
43393712,5928400,GERADO PELA UNIDADE
43345994,14386690,GERADO PELO MODELO
43393641,14094371,GERADO PELA UNIDADE
43393607,2697068,GERADO PELA UNIDADE
43393596,14036282,GERADO PELA UNIDADE
43393523,4472632,GERADO PELA UNIDADE
43393508,4472608,GERADO PELA UNIDADE
43415930,8260613,GERADO PELO MODELO
43393777,2525372,GERADO PELA UNIDADE
43393662,774839,GERADO PELA UNIDADE
43345950,9095454,GERADO PELO MODELO
43393536,8316341,GERADO PELA UNIDADE
43393709,2984644,GERADO PELA UNIDADE
43393697,2716798,GERADO PELA UNIDADE
43415863,6012469,GERADO PELO MODELO
43393640,4458567,GERADO PELA UNIDADE
43415900,6381260,GERADO PELO MODELO
43415897,6377793,GERADO PELO MODELO
43415772,4459121,GERADO PELO MODELO
43346003,61210790,GERADO PELO MODELO
43345946,8998809,GERADO PELO MODELO
43345957,10156828,GERADO PELO MODELO
43393494,4469097,GERADO PELA UNIDADE
43415931,8266425,GERADO PELO MODELO
43345916,8162115,GERADO PELO MODELO
43393544,5927919,GERADO PELA UNIDADE
43393476,4469453,GERADO PELA UNIDADE
43393752,6577350,GERADO PELA UNIDADE
43393540,4469550,GERADO PELA UNIDADE
43393672,4467558,GERADO PELA UNIDADE
43393469,4074874,GERADO PELA UNIDADE
43393502,7772548,GERADO PELA UNIDADE
43345972,11294647,GERADO PELO MODELO
43393462,2118637,GERADO PELA UNIDADE
43393625,4467841,GERADO PELA UNIDADE
43415760,4072537,GERADO PELO MODELO
43415727,2584123,GERADO PELO MODELO
43393578,4145496,GERADO PELA UNIDADE
43415918,6778976,GERADO PELO MODELO
43415774,4460960,GERADO PELO MODELO
43393483,4461070,GERADO PELA UNIDADE
43415880,6137350,GERADO PELO MODELO
43415879,6137253,GERADO PELO MODELO
43415839,5918901,GERADO PELO MODELO
43415828,5893240,GERADO PELO MODELO
43415753,3777260,GERADO PELO MODELO
43415732,2600595,GERADO PELO MODELO
43415731,2600110,GERADO PELO MODELO
43393802,4461223,GERADO PELA UNIDADE
43345960,10318747,GERADO PELO MODELO
43393420,2583631,GERADO PELA UNIDADE
43393604,4145879,GERADO PELA UNIDADE
43415775,4461495,GERADO PELO MODELO
43415752,3777022,GERADO PELO MODELO
43393423,3777057,GERADO PELA UNIDADE
43393583,4461673,GERADO PELA UNIDADE
43393807,5189365,GERADO PELA UNIDADE
43393480,5189373,GERADO PELA UNIDADE
43345876,7223919,GERADO PELO MODELO
43345875,7223900,GERADO PELO MODELO
43393603,7223650,GERADO PELA UNIDADE
43393558,7224494,GERADO PELA UNIDADE
43393743,7224508,GERADO PELA UNIDADE
43393581,7224567,GERADO PELA UNIDADE
43393543,7224338,GERADO PELA UNIDADE
43393742,9031138,GERADO PELA UNIDADE
43415925,7225296,GERADO PELO MODELO
43345877,7225121,GERADO PELO MODELO
43393704,7225113,GERADO PELA UNIDADE
43393500,7225660,GERADO PELA UNIDADE
43345878,7225989,GERADO PELO MODELO
43393739,7225962,GERADO PELA UNIDADE
43393594,7225792,GERADO PELA UNIDADE
43393591,7225970,GERADO PELA UNIDADE
43415758,3897281,GERADO PELO MODELO
43345934,8584893,GERADO PELO MODELO
43345899,7839650,GERADO PELO MODELO
43346001,14405083,GERADO PELO MODELO
43415824,5875099,GERADO PELO MODELO
43345910,7978812,GERADO PELO MODELO
43345985,14357046,GERADO PELO MODELO
43345911,7979380,GERADO PELO MODELO
43345918,8260400,GERADO PELO MODELO
43415916,6651828,GERADO PELO MODELO
43415915,6651810,GERADO PELO MODELO
43415914,6651780,GERADO PELO MODELO
43415913,6651755,GERADO PELO MODELO
43415848,5952034,GERADO PELO MODELO
43393762,6651887,GERADO PELA UNIDADE
43393722,4474767,GERADO PELA UNIDADE
43393700,6651950,GERADO PELA UNIDADE
43393665,10504346,GERADO PELA UNIDADE
